Shape Bank                                       n= 54 1-2 2★             38 ms {"not-unique":1,"ok":1}
Shape Bank                                       n= 54 5-7 6★            178 ms {"not-unique":6,"stars":12,"no-partition":1,"ok":1}
Palisade                                         n= 30 1-2 1★              7 ms {"ok":1}
Palisade                                         n= 30 5-7 1★ missed      98 ms {"stars":20,"too-many-clues":10}
Rose                                             n= 30 1-2 2★            160 ms {"ok":1}
Rose                                             n= 30 5-7 5★            927 ms {"stars":14,"ok":1}
Polyomino                                        n= 29 1-2 2★             28 ms {"not-unique":1,"ok":1}
Polyomino                                        n= 29 5-7 2★ missed     843 ms {"stars":29,"not-unique":1}
Precision                                        n= 25 1-2 2★             48 ms {"ok":1}
Precision                                        n= 25 5-7 3★ missed     792 ms {"stars":30}
Delta+Gemini+Shape Bank                          n= 22 1-2 2★            145 ms {"ok":1}
Delta+Gemini+Shape Bank                          n= 22 5-7 4★ missed    2146 ms {"stars":28,"no-clues":2}
Area Number                                      n= 18 1-2 2★            102 ms {"not-unique":1,"ok":1}
Area Number                                      n= 18 5-7 5★            542 ms {"stars":1,"ok":1}
Area Number+Size Separation                      n= 17 1-2 2★            136 ms {"no-partition":1,"ok":1}
Area Number+Size Separation                      n= 17 5-7 6★            424 ms {"stars":2,"ok":1}
Mingle+Shape Bank                                n= 17 1-2 1★             10 ms {"no-partition":3,"ok":1}
Mingle+Shape Bank                                n= 17 5-7 2★ missed     135 ms {"no-partition":12,"stars":14,"not-unique":4}
Palisade+Precision                               n= 13 1-2 1★             10 ms {"ok":1}
Palisade+Precision                               n= 13 5-7 3★ missed     504 ms {"stars":30}
Delta+Gemini+Precision                           n= 13 1-2 2★             78 ms {"ok":1}
Delta+Gemini+Precision                           n= 13 5-7 7★            207 ms {"ok":1}
Rose+Shape Bank                                  n= 12 1-2 1★              5 ms {"not-unique":1,"ok":1}
Rose+Shape Bank                                  n= 12 5-7 2★ missed      52 ms {"not-unique":6,"stars":18,"no-partition":6}
Polyomino+Precision                              n= 11 1-2 2★            153 ms {"not-unique":4,"ok":1}
Polyomino+Precision                              n= 11 5-7 4★ missed     367 ms {"not-unique":4,"stars":26}
Precision+Rose                                   n= 11 1-2 1★             16 ms {"ok":1}
Precision+Rose                                   n= 11 5-7 3★ missed     244 ms {"stars":28,"no-partition":2}
Match+Rose                                       n= 10 1-2 2★              9 ms {"stars":1,"no-partition":1,"ok":1}
Match+Rose                                       n= 10 5-7 4★ missed      40 ms {"stars":23,"not-unique":3,"no-partition":4}
Mismatch                                         n= 10 1-2 2★             89 ms {"ok":1}
Mismatch                                         n= 10 5-7 5★           1294 ms {"stars":28,"ok":1}
Area Number+Solitude                             n= 10 1-2 2★             61 ms {"ok":1}
Area Number+Solitude                             n= 10 5-7 6★            268 ms {"stars":8,"ok":1}
Area Number+Palisade+Solitude                    n= 10 1-2 2★             27 ms {"ok":1}
Area Number+Palisade+Solitude                    n= 10 5-7 5★            181 ms {"stars":24,"ok":1}
Mingle+Polyomino                                 n= 10 1-2 2★             46 ms {"ok":1}
Mingle+Polyomino                                 n= 10 5-7 2★ missed     789 ms {"stars":30}
Polyomino+Shape Bank                             n= 10 1-2 1★             14 ms {"ok":1}
Polyomino+Shape Bank                             n= 10 5-7 3★ missed     371 ms {"stars":28,"not-unique":2}
Polyomino+Rose                                   n=  9 1-2 2★             60 ms {"ok":1}
Polyomino+Rose                                   n=  9 5-7 4★ missed     688 ms {"stars":30}
Mingle+Precision                                 n=  9 1-2 2★             48 ms {"ok":1}
Mingle+Precision                                 n=  9 5-7 7★            268 ms {"ok":1}
Delta+Gemini+Rose                                n=  9 1-2 2★             26 ms {"ok":1}
Delta+Gemini+Rose                                n=  9 5-7 5★            115 ms {"ok":1}
Match+Precision                                  n=  8 1-2 1★              1 ms {"no-partition":2,"ok":1}
Match+Precision                                  n=  8 5-7 5★             47 ms {"no-partition":5,"stars":4,"not-unique":2,"ok":1}
Palisade+Solitude                                n=  8 1-2 1★              9 ms {"ok":1}
Palisade+Solitude                                n=  8 5-7 1★ missed      76 ms {"stars":30}
Palisade+Polyomino+Solitude                      n=  8 1-2 2★             19 ms {"ok":1}
Palisade+Polyomino+Solitude                      n=  8 5-7 2★ missed      31 ms {"stars":30}
Delta+Shape Bank                                 n=  8 1-2 2★             65 ms {"ok":1}
Delta+Shape Bank                                 n=  8 5-7 5★           2302 ms {"stars":21,"not-unique":5,"no-partition":1,"ok":1}
Mingle+Polyomino+Shape Bank                      n=  7 1-2 1★             12 ms {"no-partition":3,"ok":1}
Mingle+Polyomino+Shape Bank                      n=  7 5-7 6★           1696 ms {"no-partition":7,"stars":15,"ok":1}
Area Number+Boxy+Solitude                        n=  6 1-2 2★             13 ms {"ok":1}
Area Number+Boxy+Solitude                        n=  6 5-7 2★ missed      17 ms {"no-partition":1,"stars":29}
Gemini+Polyomino+Rose                            n=  6 1-2 2★             10 ms {"ok":1}
Gemini+Polyomino+Rose                            n=  6 5-7 4★ missed    2210 ms {"stars":30}
Mingle+Polyomino+Precision                       n=  6 1-2 2★            118 ms {"ok":1}
Mingle+Polyomino+Precision                       n=  6 5-7 5★             29 ms {"ok":1}
Mismatch+Polyomino                               n=  6 1-2 2★             69 ms {"ok":1}
Mismatch+Polyomino                               n=  6 5-7 6★           1667 ms {"stars":8,"ok":1}
Mismatch+Palisade                                n=  6 1-2 2★             76 ms {"ok":1}
Mismatch+Palisade                                n=  6 5-7 4★ missed     613 ms {"stars":30}
Range                                            n=  6 1-2 1★             32 ms {"ok":1}
Range                                            n=  6 5-7 6★           1186 ms {"not-unique":5,"stars":8,"ok":1}
Rose+Size Separation                             n=  6 1-2 2★             34 ms {"no-partition":5,"ok":1}
Rose+Size Separation                             n=  6 5-7 5★             60 ms {"no-partition":5,"ok":1}
Polyomino+Solitude                               n=  6 1-2 2★              6 ms {"ok":1}
Polyomino+Solitude                               n=  6 5-7 2★ missed      12 ms {"stars":30}
Palisade+Precision+Solitude                      n=  6 1-2 1★              2 ms {"ok":1}
Palisade+Precision+Solitude                      n=  6 5-7 2★ missed      11 ms {"stars":30}
Gemini+Shape Bank                                n=  6 1-2 2★             10 ms {"not-unique":1,"ok":1}
Gemini+Shape Bank                                n=  6 5-7 3★ missed    1750 ms {"not-unique":2,"stars":24,"no-partition":4}
Gemini+Rose                                      n=  5 1-2 2★             23 ms {"ok":1}
Gemini+Rose                                      n=  5 5-7 3★ missed     392 ms {"stars":29,"no-clues":1}
Size Separation                                  n=  5 1-2 4★ missed     149 ms {"stars":1,"not-unique":16,"no-partition":13}
